0 с,   0.00 м/с
417 с,   14479.17 м/с
418 с,   14513.89 м/с
419 с,   14548.61 м/с
420 с,   14583.33 м/с
421 с,   14618.06 м/с
422 с,   14652.78 м/с
423 с,   14687.50 м/с
424 с,   14722.22 м/с
425 с,   14756.94 м/с
426 с,   14791.67 м/с
427 с,   14826.39 м/с
428 с,   14861.11 м/с
429 с,   14895.83 м/с
430 с,   14930.56 м/с
431 с,   14965.28 м/с
432 с,   15000.00 м/с
433 с,   15034.72 м/с
434 с,   15069.44 м/с
435 с,   15104.17 м/с
436 с,   15138.89 м/с
437 с,   15173.61 м/с
438 с,   15208.33 м/с
439 с,   15243.06 м/с
440 с,   15277.78 м/с
441 с,   15312.50 м/с
442 с,   15347.22 м/с
443 с,   15381.94 м/с
444 с,   15416.67 м/с
445 с,   15451.39 м/с
446 с,   15486.11 м/с
447 с,   15520.83 м/с
448 с,   15555.56 м/с
449 с,   15590.28 м/с
450 с,   15625.00 м/с
451 с,   15659.72 м/с
452 с,   15694.44 м/с
453 с,   15729.17 м/с
454 с,   15763.89 м/с
455 с,   15798.61 м/с
456 с,   15833.33 м/с
457 с,   15868.06 м/с
458 с,   15902.78 м/с
459 с,   15937.50 м/с
460 с,   15972.22 м/с
461 с,   16006.94 м/с
462 с,   16041.67 м/с
463 с,   16076.39 м/с
464 с,   16111.11 м/с
465 с,   16145.83 м/с
466 с,   16180.56 м/с
467 с,   16215.28 м/с
468 с,   16250.00 м/с
469 с,   16284.72 м/с
470 с,   16319.44 м/с
471 с,   16354.17 м/с
472 с,   16388.89 м/с
473 с,   16423.61 м/с
474 с,   16458.33 м/с
475 с,   16493.06 м/с
476 с,   16527.78 м/с
477 с,   16562.50 м/с
478 с,   16597.22 м/с
479 с,   16631.94 м/с
480 с,   16666.67 м/с
481 с,   16701.39 м/с
482 с,   16736.11 м/с
483 с,   16770.83 м/с
484 с,   16805.56 м/с
485 с,   16840.28 м/с
486 с,   16875.00 м/с
487 с,   16909.72 м/с
488 с,   16944.44 м/с
489 с,   16979.17 м/с
490 с,   17013.89 м/с
491 с,   17048.61 м/с
492 с,   17083.33 м/с
493 с,   17118.06 м/с
494 с,   17152.78 м/с
495 с,   17187.50 м/с
496 с,   17222.22 м/с
497 с,   17256.94 м/с
498 с,   17291.67 м/с
499 с,   17326.39 м/с
500 с,   17361.11 м/с
501 с,   17395.83 м/с
502 с,   17430.56 м/с
503 с,   17465.28 м/с
504 с,   17500.00 м/с
505 с,   17534.72 м/с
506 с,   17569.44 м/с
507 с,   17604.17 м/с
508 с,   17638.89 м/с
509 с,   17673.61 м/с
510 с,   17708.33 м/с
511 с,   17743.06 м/с
512 с,   17777.78 м/с
513 с,   17812.50 м/с
514 с,   17847.22 м/с
515 с,   17881.94 м/с
516 с,   17916.67 м/с
517 с,   17951.39 м/с
518 с,   17986.11 м/с
519 с,   18020.83 м/с
520 с,   18055.56 м/с
521 с,   18090.28 м/с
522 с,   18125.00 м/с
523 с,   18159.72 м/с
524 с,   18194.44 м/с
525 с,   18229.17 м/с
526 с,   18263.89 м/с
527 с,   18298.61 м/с
528 с,   18333.33 м/с
529 с,   18368.06 м/с
530 с,   18402.78 м/с
531 с,   18437.50 м/с
532 с,   18472.22 м/с
533 с,   18506.94 м/с
534 с,   18541.67 м/с
535 с,   18576.39 м/с
536 с,   18611.11 м/с
537 с,   18645.83 м/с
538 с,   18680.56 м/с
539 с,   18715.28 м/с
540 с,   18750.00 м/с
541 с,   18784.72 м/с
542 с,   18819.44 м/с
543 с,   18854.17 м/с
544 с,   18888.89 м/с
545 с,   18923.61 м/с
546 с,   18958.33 м/с
547 с,   18993.06 м/с
548 с,   19027.78 м/с
549 с,   19062.50 м/с
550 с,   19097.22 м/с
551 с,   19131.94 м/с
552 с,   19166.67 м/с
553 с,   19201.39 м/с
554 с,   19236.11 м/с
555 с,   19270.83 м/с
556 с,   19305.56 м/с
557 с,   19340.28 м/с
558 с,   19375.00 м/с
559 с,   19409.72 м/с
560 с,   19444.44 м/с
561 с,   19479.17 м/с
562 с,   19513.89 м/с
563 с,   19548.61 м/с
564 с,   19583.33 м/с
565 с,   19618.06 м/с
566 с,   19652.78 м/с
567 с,   19687.50 м/с
568 с,   19722.22 м/с
569 с,   19756.94 м/с
570 с,   19791.67 м/с
571 с,   19826.39 м/с
572 с,   19861.11 м/с
573 с,   19895.83 м/с
574 с,   19930.56 м/с
575 с,   19965.28 м/с
576 с,   20000.00 м/с
577 с,   20034.72 м/с
578 с,   20069.44 м/с
579 с,   20104.17 м/с
580 с,   20138.89 м/с
581 с,   20173.61 м/с
582 с,   20208.33 м/с
583 с,   20243.06 м/с
584 с,   20277.78 м/с
585 с,   20312.50 м/с
586 с,   20347.22 м/с
587 с,   20381.94 м/с
588 с,   20416.67 м/с
589 с,   20451.39 м/с
590 с,   20486.11 м/с
591 с,   20520.83 м/с
592 с,   20555.56 м/с
593 с,   20590.28 м/с
594 с,   20625.00 м/с
595 с,   20659.72 м/с
596 с,   20694.44 м/с
597 с,   20729.17 м/с
598 с,   20763.89 м/с
599 с,   20798.61 м/с
600 с,   20833.33 м/с
601 с,   20868.06 м/с
602 с,   20902.78 м/с
603 с,   20937.50 м/с
604 с,   20972.22 м/с
605 с,   21006.94 м/с
606 с,   21041.67 м/с
607 с,   21076.39 м/с
608 с,   21111.11 м/с
609 с,   21145.83 м/с
610 с,   21180.56 м/с
611 с,   21215.28 м/с
612 с,   21250.00 м/с
613 с,   21284.72 м/с
614 с,   21319.44 м/с
615 с,   21354.17 м/с
616 с,   21388.89 м/с
617 с,   21423.61 м/с
618 с,   21458.33 м/с
619 с,   21493.06 м/с
620 с,   21527.78 м/с
621 с,   21562.50 м/с
622 с,   21597.22 м/с
623 с,   21631.94 м/с
624 с,   21666.67 м/с
625 с,   21701.39 м/с
626 с,   21736.11 м/с
627 с,   21770.83 м/с
628 с,   21805.56 м/с
629 с,   21840.28 м/с
630 с,   21875.00 м/с
631 с,   21909.72 м/с
632 с,   21944.44 м/с
633 с,   21979.17 м/с
634 с,   22013.89 м/с
635 с,   22048.61 м/с
636 с,   22083.33 м/с
637 с,   22118.06 м/с
638 с,   22152.78 м/с
639 с,   22187.50 м/с
640 с,   22222.22 м/с
641 с,   22256.94 м/с
642 с,   22291.67 м/с
643 с,   22326.39 м/с
644 с,   22361.11 м/с
645 с,   22395.83 м/с
646 с,   22430.56 м/с
647 с,   22465.28 м/с
648 с,   22500.00 м/с
649 с,   22534.72 м/с
650 с,   22569.44 м/с
651 с,   22604.17 м/с
652 с,   22638.89 м/с
653 с,   22673.61 м/с
654 с,   22708.33 м/с
655 с,   22743.06 м/с
656 с,   22777.78 м/с
657 с,   22812.50 м/с
658 с,   22847.22 м/с
659 с,   22881.94 м/с
660 с,   22916.67 м/с
661 с,   22951.39 м/с
662 с,   22986.11 м/с
663 с,   23020.83 м/с
664 с,   23055.56 м/с
665 с,   23090.28 м/с
666 с,   23125.00 м/с
667 с,   23159.72 м/с
668 с,   23194.44 м/с
669 с,   23229.17 м/с
670 с,   23263.89 м/с
671 с,   23298.61 м/с
672 с,   23333.33 м/с
673 с,   23368.06 м/с
674 с,   23402.78 м/с
675 с,   23437.50 м/с
676 с,   23472.22 м/с
677 с,   23506.94 м/с
678 с,   23541.67 м/с
679 с,   23576.39 м/с
680 с,   23611.11 м/с
681 с,   23645.83 м/с
682 с,   23680.56 м/с
