0 с,   0.00 м/с
9660 с,   31195.81 м/с
9661 с,   31190.77 м/с
9662 с,   31185.71 м/с
9663 с,   31180.65 м/с
9664 с,   31175.57 м/с
9665 с,   31170.48 м/с
9666 с,   31165.38 м/с
9667 с,   31160.27 м/с
9668 с,   31155.15 м/с
9669 с,   31150.01 м/с
9670 с,   31144.86 м/с
9671 с,   31139.71 м/с
9672 с,   31134.54 м/с
9673 с,   31129.36 м/с
9674 с,   31124.17 м/с
9675 с,   31118.96 м/с
9676 с,   31113.75 м/с
9677 с,   31108.53 м/с
9678 с,   31103.29 м/с
9679 с,   31098.05 м/с
9680 с,   31092.79 м/с
9681 с,   31087.52 м/с
9682 с,   31082.24 м/с
9683 с,   31076.95 м/с
9684 с,   31071.65 м/с
9685 с,   31066.34 м/с
9686 с,   31061.02 м/с
9687 с,   31055.69 м/с
9688 с,   31050.35 м/с
9689 с,   31045.00 м/с
9690 с,   31039.63 м/с
9691 с,   31034.26 м/с
9692 с,   31028.88 м/с
9693 с,   31023.49 м/с
9694 с,   31018.08 м/с
9695 с,   31012.67 м/с
9696 с,   31007.25 м/с
9697 с,   31001.81 м/с
9698 с,   30996.37 м/с
9699 с,   30990.92 м/с
9700 с,   30985.45 м/с
9701 с,   30979.98 м/с
9702 с,   30974.50 м/с
9703 с,   30969.01 м/с
9704 с,   30963.51 м/с
9705 с,   30958.00 м/с
9706 с,   30952.48 м/с
9707 с,   30946.95 м/с
9708 с,   30941.41 м/с
9709 с,   30935.86 м/с
9710 с,   30930.30 м/с
9711 с,   30924.74 м/с
9712 с,   30919.16 м/с
9713 с,   30913.57 м/с
9714 с,   30907.98 м/с
9715 с,   30902.38 м/с
9716 с,   30896.77 м/с
9717 с,   30891.15 м/с
9718 с,   30885.52 м/с
9719 с,   30879.88 м/с
9720 с,   30874.23 м/с
9721 с,   30868.58 м/с
9722 с,   30862.91 м/с
9723 с,   30857.24 м/с
9724 с,   30851.56 м/с
9725 с,   30845.87 м/с
9726 с,   30840.17 м/с
9727 с,   30834.47 м/с
9728 с,   30828.75 м/с
9729 с,   30823.03 м/с
9730 с,   30817.30 м/с
9731 с,   30811.56 м/с
9732 с,   30805.81 м/с
9733 с,   30800.06 м/с
9734 с,   30794.30 м/с
9735 с,   30788.53 м/с
9736 с,   30782.75 м/с
9737 с,   30776.96 м/с
9738 с,   30771.17 м/с
9739 с,   30765.37 м/с
9740 с,   30759.56 м/с
9741 с,   30753.74 м/с
9742 с,   30747.92 м/с
9743 с,   30742.09 м/с
9744 с,   30736.25 м/с
9745 с,   30730.40 м/с
9746 с,   30724.55 м/с
9747 с,   30718.69 м/с
9748 с,   30712.82 м/с
9749 с,   30706.95 м/с
9750 с,   30701.07 м/с
9751 с,   30695.18 м/с
9752 с,   30689.29 м/с
9753 с,   30683.38 м/с
9754 с,   30677.48 м/с
9755 с,   30671.56 м/с
9756 с,   30665.64 м/с
9757 с,   30659.71 м/с
9758 с,   30653.78 м/с
9759 с,   30647.83 м/с
9760 с,   30641.89 м/с
9761 с,   30635.93 м/с
9762 с,   30629.97 м/с
9763 с,   30624.01 м/с
9764 с,   30618.03 м/с
9765 с,   30612.06 м/с
9766 с,   30606.07 м/с
9767 с,   30600.08 м/с
9768 с,   30594.08 м/с
9769 с,   30588.08 м/с
9770 с,   30582.07 м/с
9771 с,   30576.06 м/с
9772 с,   30570.04 м/с
9773 с,   30564.01 м/с
9774 с,   30557.98 м/с
9775 с,   30551.95 м/с
9776 с,   30545.90 м/с
9777 с,   30539.86 м/с
9778 с,   30533.80 м/с
9779 с,   30527.75 м/с
9780 с,   30521.68 м/с
9781 с,   30515.61 м/с
9782 с,   30509.54 м/с
9783 с,   30503.46 м/с
9784 с,   30497.38 м/с
9785 с,   30491.29 м/с
9786 с,   30485.20 м/с
9787 с,   30479.10 м/с
9788 с,   30473.00 м/с
9789 с,   30466.89 м/с
9790 с,   30460.78 м/с
9791 с,   30454.66 м/с
9792 с,   30448.54 м/с
9793 с,   30442.42 м/с
9794 с,   30436.29 м/с
9795 с,   30430.15 м/с
9796 с,   30424.01 м/с
9797 с,   30417.87 м/с
9798 с,   30411.73 м/с
9799 с,   30405.57 м/с
9800 с,   30399.42 м/с
9801 с,   30393.26 м/с
9802 с,   30387.10 м/с
9803 с,   30380.93 м/с
9804 с,   30374.76 м/с
9805 с,   30368.59 м/с
9806 с,   30362.41 м/с
9807 с,   30356.23 м/с
9808 с,   30350.05 м/с
9809 с,   30343.86 м/с
9810 с,   30337.67 м/с
9811 с,   30331.47 м/с
9812 с,   30325.27 м/с
9813 с,   30319.07 м/с
9814 с,   30312.87 м/с
9815 с,   30306.66 м/с
9816 с,   30300.45 м/с
9817 с,   30294.24 м/с
9818 с,   30288.02 м/с
9819 с,   30281.80 м/с
9820 с,   30275.58 м/с
9821 с,   30269.36 м/с
9822 с,   30263.13 м/с
9823 с,   30256.90 м/с
9824 с,   30250.67 м/с
9825 с,   30244.43 м/с
9826 с,   30238.19 м/с
9827 с,   30231.95 м/с
9828 с,   30225.71 м/с
9829 с,   30219.47 м/с
9830 с,   30213.22 м/с
9831 с,   30206.97 м/с
9832 с,   30200.72 м/с
9833 с,   30194.47 м/с
9834 с,   30188.22 м/с
9835 с,   30181.96 м/с
9836 с,   30175.70 м/с
9837 с,   30169.44 м/с
9838 с,   30163.18 м/с
9839 с,   30156.92 м/с
9840 с,   30150.65 м/с
9841 с,   30144.39 м/с
9842 с,   30138.12 м/с
9843 с,   30131.85 м/с
9844 с,   30125.58 м/с
9845 с,   30119.31 м/с
9846 с,   30113.04 м/с
9847 с,   30106.76 м/с
9848 с,   30100.49 м/с
9849 с,   30094.21 м/с
9850 с,   30087.94 м/с
9851 с,   30081.66 м/с
9852 с,   30075.38 м/с
9853 с,   30069.10 м/с
9854 с,   30062.82 м/с
9855 с,   30056.54 м/с
9856 с,   30050.26 м/с
9857 с,   30043.98 м/с
9858 с,   30037.70 м/с
9859 с,   30031.41 м/с
9860 с,   30025.13 м/с
9861 с,   30018.85 м/с
9862 с,   30012.57 м/с
9863 с,   30006.28 м/с
9864 с,   30000.00 м/с
9865 с,   29993.72 м/с
9866 с,   29987.43 м/с
9867 с,   29981.15 м/с
9868 с,   29974.87 м/с
9869 с,   29968.59 м/с
9870 с,   29962.30 м/с
9871 с,   29956.02 м/с
9872 с,   29949.74 м/с
9873 с,   29943.46 м/с
9874 с,   29937.18 м/с
9875 с,   29930.90 м/с
9876 с,   29924.62 м/с
9877 с,   29918.34 м/с
9878 с,   29912.06 м/с
9879 с,   29905.79 м/с
9880 с,   29899.51 м/с
9881 с,   29893.24 м/с
9882 с,   29886.96 м/с
9883 с,   29880.69 м/с
9884 с,   29874.42 м/с
9885 с,   29868.15 м/с
9886 с,   29861.88 м/с
9887 с,   29855.61 м/с
9888 с,   29849.35 м/с
9889 с,   29843.08 м/с
9890 с,   29836.82 м/с
9891 с,   29830.56 м/с
9892 с,   29824.30 м/с
9893 с,   29818.04 м/с
9894 с,   29811.78 м/с
9895 с,   29805.53 м/с
9896 с,   29799.28 м/с
9897 с,   29793.03 м/с
9898 с,   29786.78 м/с
9899 с,   29780.53 м/с
9900 с,   29774.29 м/с
9901 с,   29768.05 м/с
9902 с,   29761.81 м/с
9903 с,   29755.57 м/с
9904 с,   29749.33 м/с
9905 с,   29743.10 м/с
9906 с,   29736.87 м/с
9907 с,   29730.64 м/с
9908 с,   29724.42 м/с
9909 с,   29718.20 м/с
9910 с,   29711.98 м/с
9911 с,   29705.76 м/с
9912 с,   29699.55 м/с
9913 с,   29693.34 м/с
9914 с,   29687.13 м/с
9915 с,   29680.93 м/с
9916 с,   29674.73 м/с
9917 с,   29668.53 м/с
9918 с,   29662.33 м/с
9919 с,   29656.14 м/с
9920 с,   29649.95 м/с
9921 с,   29643.77 м/с
9922 с,   29637.59 м/с
9923 с,   29631.41 м/с
9924 с,   29625.24 м/с
9925 с,   29619.07 м/с
9926 с,   29612.90 м/с
9927 с,   29606.74 м/с
9928 с,   29600.58 м/с
9929 с,   29594.43 м/с
9930 с,   29588.27 м/с
9931 с,   29582.13 м/с
9932 с,   29575.99 м/с
9933 с,   29569.85 м/с
9934 с,   29563.71 м/с
9935 с,   29557.58 м/с
9936 с,   29551.46 м/с
9937 с,   29545.34 м/с
9938 с,   29539.22 м/с
9939 с,   29533.11 м/с
9940 с,   29527.00 м/с
9941 с,   29520.90 м/с
9942 с,   29514.80 м/с
9943 с,   29508.71 м/с
9944 с,   29502.62 м/с
9945 с,   29496.54 м/с
9946 с,   29490.46 м/с
9947 с,   29484.39 м/с
9948 с,   29478.32 м/с
9949 с,   29472.25 м/с
9950 с,   29466.20 м/с
9951 с,   29460.14 м/с
9952 с,   29454.10 м/с
9953 с,   29448.05 м/с
9954 с,   29442.02 м/с
9955 с,   29435.99 м/с
9956 с,   29429.96 м/с
9957 с,   29423.94 м/с
9958 с,   29417.93 м/с
9959 с,   29411.92 м/с
9960 с,   29405.92 м/с
9961 с,   29399.92 м/с
9962 с,   29393.93 м/с
9963 с,   29387.94 м/с
9964 с,   29381.97 м/с
9965 с,   29375.99 м/с
9966 с,   29370.03 м/с
9967 с,   29364.07 м/с
9968 с,   29358.11 м/с
9969 с,   29352.17 м/с
9970 с,   29346.22 м/с
9971 с,   29340.29 м/с
9972 с,   29334.36 м/с
9973 с,   29328.44 м/с
9974 с,   29322.52 м/с
9975 с,   29316.62 м/с
9976 с,   29310.71 м/с
9977 с,   29304.82 м/с
9978 с,   29298.93 м/с
9979 с,   29293.05 м/с
9980 с,   29287.18 м/с
9981 с,   29281.31 м/с
9982 с,   29275.45 м/с
9983 с,   29269.60 м/с
9984 с,   29263.75 м/с
9985 с,   29257.91 м/с
9986 с,   29252.08 м/с
9987 с,   29246.26 м/с
9988 с,   29240.44 м/с
9989 с,   29234.63 м/с
9990 с,   29228.83 м/с
9991 с,   29223.04 м/с
9992 с,   29217.25 м/с
9993 с,   29211.47 м/с
9994 с,   29205.70 м/с
9995 с,   29199.94 м/с
9996 с,   29194.19 м/с
9997 с,   29188.44 м/с
9998 с,   29182.70 м/с
9999 с,   29176.97 м/с
10000 с,   29171.25 м/с
10001 с,   29165.53 м/с
10002 с,   29159.83 м/с
10003 с,   29154.13 м/с
10004 с,   29148.44 м/с
10005 с,   29142.76 м/с
10006 с,   29137.09 м/с
10007 с,   29131.42 м/с
10008 с,   29125.77 м/с
10009 с,   29120.12 м/с
10010 с,   29114.48 м/с
10011 с,   29108.85 м/с
10012 с,   29103.23 м/с
10013 с,   29097.62 м/с
10014 с,   29092.02 м/с
10015 с,   29086.43 м/с
10016 с,   29080.84 м/с
10017 с,   29075.26 м/с
10018 с,   29069.70 м/с
10019 с,   29064.14 м/с
10020 с,   29058.59 м/с
10021 с,   29053.05 м/с
10022 с,   29047.52 м/с
10023 с,   29042.00 м/с
10024 с,   29036.49 м/с
10025 с,   29030.99 м/с
10026 с,   29025.50 м/с
10027 с,   29020.02 м/с
10028 с,   29014.55 м/с
10029 с,   29009.08 м/с
10030 с,   29003.63 м/с
10031 с,   28998.19 м/с
10032 с,   28992.75 м/с
10033 с,   28987.33 м/с
10034 с,   28981.92 м/с
10035 с,   28976.51 м/с
10036 с,   28971.12 м/с
10037 с,   28965.74 м/с
10038 с,   28960.37 м/с
10039 с,   28955.00 м/с
10040 с,   28949.65 м/с
10041 с,   28944.31 м/с
10042 с,   28938.98 м/с
10043 с,   28933.66 м/с
10044 с,   28928.35 м/с
10045 с,   28923.05 м/с
10046 с,   28917.76 м/с
10047 с,   28912.48 м/с
10048 с,   28907.21 м/с
10049 с,   28901.95 м/с
10050 с,   28896.71 м/с
10051 с,   28891.47 м/с
10052 с,   28886.25 м/с
10053 с,   28881.04 м/с
10054 с,   28875.83 м/с
10055 с,   28870.64 м/с
10056 с,   28865.46 м/с
10057 с,   28860.29 м/с
10058 с,   28855.14 м/с
10059 с,   28849.99 м/с
10060 с,   28844.85 м/с
10061 с,   28839.73 м/с
10062 с,   28834.62 м/с
10063 с,   28829.52 м/с
10064 с,   28824.43 м/с
10065 с,   28819.35 м/с
10066 с,   28814.29 м/с
10067 с,   28809.23 м/с
10068 с,   28804.19 м/с
10069 с,   28799.16 м/с
10070 с,   28794.14 м/с
10071 с,   28789.13 м/с
10072 с,   28784.14 м/с
10073 с,   28779.16 м/с
10074 с,   28774.19 м/с
10075 с,   28769.23 м/с
10076 с,   28764.28 м/с
10077 с,   28759.35 м/с
10078 с,   28754.42 м/с
10079 с,   28749.51 м/с
10080 с,   28744.62 м/с
10081 с,   28739.73 м/с
10082 с,   28734.86 м/с
10083 с,   28730.00 м/с
10084 с,   28725.15 м/с
10085 с,   28720.32 м/с
10086 с,   28715.49 м/с
10087 с,   28710.69 м/с
10088 с,   28705.89 м/с
10089 с,   28701.10 м/с
10090 с,   28696.33 м/с
10091 с,   28691.57 м/с
10092 с,   28686.83 м/с
10093 с,   28682.10 м/с
10094 с,   28677.38 м/с
10095 с,   28672.67 м/с
10096 с,   28667.98 м/с
10097 с,   28663.30 м/с
10098 с,   28658.63 м/с
10099 с,   28653.97 м/с
10100 с,   28649.33 м/с
10101 с,   28644.71 м/с
10102 с,   28640.09 м/с
10103 с,   28635.49 м/с
10104 с,   28630.91 м/с
10105 с,   28626.33 м/с
10106 с,   28621.77 м/с
10107 с,   28617.23 м/с
10108 с,   28612.69 м/с
10109 с,   28608.17 м/с
10110 с,   28603.67 м/с
10111 с,   28599.18 м/с
10112 с,   28594.70 м/с
10113 с,   28590.24 м/с
10114 с,   28585.79 м/с
10115 с,   28581.35 м/с
10116 с,   28576.93 м/с
10117 с,   28572.52 м/с
10118 с,   28568.13 м/с
10119 с,   28563.75 м/с
10120 с,   28559.38 м/с
10121 с,   28555.03 м/с
10122 с,   28550.69 м/с
10123 с,   28546.37 м/с
10124 с,   28542.06 м/с
10125 с,   28537.77 м/с
10126 с,   28533.49 м/с
10127 с,   28529.22 м/с
10128 с,   28524.97 м/с
10129 с,   28520.74 м/с
10130 с,   28516.52 м/с
10131 с,   28512.31 м/с
10132 с,   28508.12 м/с
10133 с,   28503.94 м/с
10134 с,   28499.78 м/с
10135 с,   28495.63 м/с
10136 с,   28491.50 м/с
10137 с,   28487.38 м/с
10138 с,   28483.28 м/с
10139 с,   28479.19 м/с
10140 с,   28475.11 м/с
10141 с,   28471.06 м/с
10142 с,   28467.01 м/с
10143 с,   28462.99 м/с
10144 с,   28458.97 м/с
10145 с,   28454.98 м/с
10146 с,   28450.99 м/с
10147 с,   28447.03 м/с
10148 с,   28443.08 м/с
10149 с,   28439.14 м/с
10150 с,   28435.22 м/с
10151 с,   28431.31 м/с
10152 с,   28427.42 м/с
10153 с,   28423.55 м/с
10154 с,   28419.69 м/с
10155 с,   28415.85 м/с
10156 с,   28412.02 м/с
10157 с,   28408.21 м/с
10158 с,   28404.41 м/с
10159 с,   28400.63 м/с
10160 с,   28396.87 м/с
10161 с,   28393.12 м/с
10162 с,   28389.38 м/с
10163 с,   28385.67 м/с
10164 с,   28381.97 м/с
10165 с,   28378.28 м/с
10166 с,   28374.61 м/с
10167 с,   28370.96 м/с
10168 с,   28367.32 м/с
10169 с,   28363.70 м/с
10170 с,   28360.10 м/с
10171 с,   28356.51 м/с
10172 с,   28352.93 м/с
10173 с,   28349.38 м/с
10174 с,   28345.84 м/с
10175 с,   28342.32 м/с
10176 с,   28338.81 м/с
10177 с,   28335.32 м/с
10178 с,   28331.84 м/с
10179 с,   28328.39 м/с
10180 с,   28324.94 м/с
10181 с,   28321.52 м/с
10182 с,   28318.11 м/с
10183 с,   28314.72 м/с
10184 с,   28311.34 м/с
10185 с,   28307.99 м/с
10186 с,   28304.64 м/с
10187 с,   28301.32 м/с
10188 с,   28298.01 м/с
10189 с,   28294.72 м/с
10190 с,   28291.45 м/с
10191 с,   28288.19 м/с
10192 с,   28284.95 м/с
10193 с,   28281.72 м/с
10194 с,   28278.52 м/с
10195 с,   28275.33 м/с
10196 с,   28272.15 м/с
10197 с,   28269.00 м/с
10198 с,   28265.86 м/с
10199 с,   28262.74 м/с
10200 с,   28259.63 м/с
10201 с,   28256.55 м/с
10202 с,   28253.48 м/с
10203 с,   28250.42 м/с
10204 с,   28247.39 м/с
10205 с,   28244.37 м/с
10206 с,   28241.37 м/с
10207 с,   28238.38 м/с
10208 с,   28235.42 м/с
10209 с,   28232.47 м/с
10210 с,   28229.54 м/с
10211 с,   28226.62 м/с
10212 с,   28223.73 м/с
10213 с,   28220.85 м/с
10214 с,   28217.99 м/с
10215 с,   28215.14 м/с
10216 с,   28212.32 м/с
10217 с,   28209.51 м/с
10218 с,   28206.72 м/с
10219 с,   28203.94 м/с
10220 с,   28201.19 м/с
10221 с,   28198.45 м/с
10222 с,   28195.73 м/с
10223 с,   28193.03 м/с
10224 с,   28190.35 м/с
10225 с,   28187.68 м/с
10226 с,   28185.03 м/с
10227 с,   28182.40 м/с
10228 с,   28179.79 м/с
10229 с,   28177.19 м/с
10230 с,   28174.62 м/с
10231 с,   28172.06 м/с
10232 с,   28169.52 м/с
10233 с,   28167.00 м/с
10234 с,   28164.49 м/с
10235 с,   28162.00 м/с
10236 с,   28159.54 м/с
10237 с,   28157.09 м/с
10238 с,   28154.65 м/с
10239 с,   28152.24 м/с
10240 с,   28149.85 м/с
10241 с,   28147.47 м/с
10242 с,   28145.11 м/с
10243 с,   28142.77 м/с
10244 с,   28140.45 м/с
10245 с,   28138.14 м/с
10246 с,   28135.86 м/с
10247 с,   28133.59 м/с
10248 с,   28131.34 м/с
10249 с,   28129.11 м/с
10250 с,   28126.90 м/с
10251 с,   28124.71 м/с
10252 с,   28122.53 м/с
10253 с,   28120.38 м/с
10254 с,   28118.24 м/с
10255 с,   28116.12 м/с
10256 с,   28114.02 м/с
10257 с,   28111.94 м/с
10258 с,   28109.87 м/с
10259 с,   28107.83 м/с
10260 с,   28105.80 м/с
10261 с,   28103.80 м/с
10262 с,   28101.81 м/с
10263 с,   28099.84 м/с
10264 с,   28097.89 м/с
10265 с,   28095.95 м/с
10266 с,   28094.04 м/с
10267 с,   28092.15 м/с
10268 с,   28090.27 м/с
10269 с,   28088.41 м/с
10270 с,   28086.58 м/с
10271 с,   28084.76 м/с
10272 с,   28082.96 м/с
10273 с,   28081.18 м/с
10274 с,   28079.41 м/с
10275 с,   28077.67 м/с
10276 с,   28075.94 м/с
10277 с,   28074.24 м/с
10278 с,   28072.55 м/с
10279 с,   28070.89 м/с
10280 с,   28069.24 м/с
10281 с,   28067.61 м/с
10282 с,   28066.00 м/с
10283 с,   28064.41 м/с
10284 с,   28062.83 м/с
10285 с,   28061.28 м/с
10286 с,   28059.75 м/с
10287 с,   28058.23 м/с
10288 с,   28056.74 м/с
10289 с,   28055.26 м/с
10290 с,   28053.80 м/с
10291 с,   28052.37 м/с
10292 с,   28050.95 м/с
10293 с,   28049.55 м/с
10294 с,   28048.17 м/с
10295 с,   28046.81 м/с
10296 с,   28045.46 м/с
10297 с,   28044.14 м/с
10298 с,   28042.84 м/с
10299 с,   28041.55 м/с
10300 с,   28040.29 м/с
10301 с,   28039.04 м/с
10302 с,   28037.82 м/с
10303 с,   28036.61 м/с
10304 с,   28035.43 м/с
10305 с,   28034.26 м/с
10306 с,   28033.11 м/с
10307 с,   28031.98 м/с
10308 с,   28030.87 м/с
10309 с,   28029.78 м/с
10310 с,   28028.71 м/с
10311 с,   28027.66 м/с
10312 с,   28026.63 м/с
10313 с,   28025.62 м/с
10314 с,   28024.62 м/с
10315 с,   28023.65 м/с
10316 с,   28022.70 м/с
10317 с,   28021.76 м/с
10318 с,   28020.85 м/с
10319 с,   28019.95 м/с
10320 с,   28019.08 м/с
10321 с,   28018.22 м/с
10322 с,   28017.38 м/с
10323 с,   28016.57 м/с
10324 с,   28015.77 м/с
10325 с,   28014.99 м/с
10326 с,   28014.23 м/с
10327 с,   28013.50 м/с
10328 с,   28012.78 м/с
10329 с,   28012.08 м/с
10330 с,   28011.40 м/с
10331 с,   28010.74 м/с
10332 с,   28010.10 м/с
10333 с,   28009.48 м/с
10334 с,   28008.88 м/с
10335 с,   28008.29 м/с
10336 с,   28007.73 м/с
10337 с,   28007.19 м/с
10338 с,   28006.67 м/с
10339 с,   28006.17 м/с
10340 с,   28005.68 м/с
10341 с,   28005.22 м/с
10342 с,   28004.77 м/с
10343 с,   28004.35 м/с
10344 с,   28003.95 м/с
10345 с,   28003.56 м/с
10346 с,   28003.20 м/с
10347 с,   28002.85 м/с
10348 с,   28002.53 м/с
10349 с,   28002.22 м/с
10350 с,   28001.93 м/с
10351 с,   28001.67 м/с
10352 с,   28001.42 м/с
10353 с,   28001.19 м/с
10354 с,   28000.99 м/с
10355 с,   28000.80 м/с
10356 с,   28000.63 м/с
10357 с,   28000.48 м/с
10358 с,   28000.36 м/с
10359 с,   28000.25 м/с
10360 с,   28000.16 м/с
10361 с,   28000.09 м/с
10362 с,   28000.04 м/с
10363 с,   28000.01 м/с
10364 с,   28000.00 м/с
10365 с,   28000.01 м/с
10366 с,   28000.04 м/с
10367 с,   28000.09 м/с
10368 с,   28000.16 м/с
10369 с,   28000.25 м/с
10370 с,   28000.36 м/с
10371 с,   28000.48 м/с
10372 с,   28000.63 м/с
10373 с,   28000.80 м/с
10374 с,   28000.99 м/с
10375 с,   28001.19 м/с
10376 с,   28001.42 м/с
10377 с,   28001.67 м/с
10378 с,   28001.93 м/с
10379 с,   28002.22 м/с
10380 с,   28002.53 м/с
10381 с,   28002.85 м/с
10382 с,   28003.20 м/с
10383 с,   28003.56 м/с
10384 с,   28003.95 м/с
10385 с,   28004.35 м/с
10386 с,   28004.77 м/с
10387 с,   28005.22 м/с
10388 с,   28005.68 м/с
10389 с,   28006.17 м/с
10390 с,   28006.67 м/с
10391 с,   28007.19 м/с
10392 с,   28007.73 м/с
10393 с,   28008.29 м/с
10394 с,   28008.88 м/с
10395 с,   28009.48 м/с
10396 с,   28010.10 м/с
10397 с,   28010.74 м/с
10398 с,   28011.40 м/с
10399 с,   28012.08 м/с
10400 с,   28012.78 м/с
10401 с,   28013.50 м/с
10402 с,   28014.23 м/с
10403 с,   28014.99 м/с
10404 с,   28015.77 м/с
10405 с,   28016.57 м/с
10406 с,   28017.38 м/с
10407 с,   28018.22 м/с
10408 с,   28019.08 м/с
10409 с,   28019.95 м/с
10410 с,   28020.85 м/с
10411 с,   28021.76 м/с
10412 с,   28022.70 м/с
10413 с,   28023.65 м/с
10414 с,   28024.62 м/с
10415 с,   28025.62 м/с
10416 с,   28026.63 м/с
10417 с,   28027.66 м/с
10418 с,   28028.71 м/с
10419 с,   28029.78 м/с
10420 с,   28030.87 м/с
10421 с,   28031.98 м/с
10422 с,   28033.11 м/с
10423 с,   28034.26 м/с
10424 с,   28035.43 м/с
10425 с,   28036.61 м/с
10426 с,   28037.82 м/с
10427 с,   28039.04 м/с
10428 с,   28040.29 м/с
10429 с,   28041.55 м/с
10430 с,   28042.84 м/с
10431 с,   28044.14 м/с
10432 с,   28045.46 м/с
10433 с,   28046.81 м/с
10434 с,   28048.17 м/с
10435 с,   28049.55 м/с
10436 с,   28050.95 м/с
10437 с,   28052.37 м/с
10438 с,   28053.80 м/с
10439 с,   28055.26 м/с
10440 с,   28056.74 м/с
10441 с,   28058.23 м/с
10442 с,   28059.75 м/с
10443 с,   28061.28 м/с
10444 с,   28062.83 м/с
10445 с,   28064.41 м/с
10446 с,   28066.00 м/с
10447 с,   28067.61 м/с
10448 с,   28069.24 м/с
10449 с,   28070.89 м/с
10450 с,   28072.55 м/с
10451 с,   28074.24 м/с
10452 с,   28075.94 м/с
10453 с,   28077.67 м/с
10454 с,   28079.41 м/с
10455 с,   28081.18 м/с
10456 с,   28082.96 м/с
10457 с,   28084.76 м/с
10458 с,   28086.58 м/с
10459 с,   28088.41 м/с
10460 с,   28090.27 м/с
10461 с,   28092.15 м/с
10462 с,   28094.04 м/с
10463 с,   28095.95 м/с
10464 с,   28097.89 м/с
10465 с,   28099.84 м/с
10466 с,   28101.81 м/с
10467 с,   28103.80 м/с
10468 с,   28105.80 м/с
10469 с,   28107.83 м/с
10470 с,   28109.87 м/с
10471 с,   28111.94 м/с
10472 с,   28114.02 м/с
10473 с,   28116.12 м/с
10474 с,   28118.24 м/с
10475 с,   28120.38 м/с
10476 с,   28122.53 м/с
10477 с,   28124.71 м/с
10478 с,   28126.90 м/с
10479 с,   28129.11 м/с
10480 с,   28131.34 м/с
10481 с,   28133.59 м/с
10482 с,   28135.86 м/с
10483 с,   28138.14 м/с
10484 с,   28140.45 м/с
10485 с,   28142.77 м/с
10486 с,   28145.11 м/с
10487 с,   28147.47 м/с
10488 с,   28149.85 м/с
10489 с,   28152.24 м/с
10490 с,   28154.65 м/с
10491 с,   28157.09 м/с
10492 с,   28159.54 м/с
10493 с,   28162.00 м/с
10494 с,   28164.49 м/с
10495 с,   28167.00 м/с
10496 с,   28169.52 м/с
10497 с,   28172.06 м/с
10498 с,   28174.62 м/с
10499 с,   28177.19 м/с
10500 с,   28179.79 м/с
10501 с,   28182.40 м/с
10502 с,   28185.03 м/с
10503 с,   28187.68 м/с
10504 с,   28190.35 м/с
10505 с,   28193.03 м/с
10506 с,   28195.73 м/с
10507 с,   28198.45 м/с
10508 с,   28201.19 м/с
10509 с,   28203.94 м/с
10510 с,   28206.72 м/с
10511 с,   28209.51 м/с
10512 с,   28212.32 м/с
10513 с,   28215.14 м/с
10514 с,   28217.99 м/с
10515 с,   28220.85 м/с
10516 с,   28223.73 м/с
10517 с,   28226.62 м/с
10518 с,   28229.54 м/с
10519 с,   28232.47 м/с
10520 с,   28235.42 м/с
10521 с,   28238.38 м/с
10522 с,   28241.37 м/с
10523 с,   28244.37 м/с
10524 с,   28247.39 м/с
10525 с,   28250.42 м/с
10526 с,   28253.48 м/с
10527 с,   28256.55 м/с
10528 с,   28259.63 м/с
10529 с,   28262.74 м/с
10530 с,   28265.86 м/с
10531 с,   28269.00 м/с
10532 с,   28272.15 м/с
10533 с,   28275.33 м/с
10534 с,   28278.52 м/с
10535 с,   28281.72 м/с
10536 с,   28284.95 м/с
10537 с,   28288.19 м/с
10538 с,   28291.45 м/с
10539 с,   28294.72 м/с
10540 с,   28298.01 м/с
10541 с,   28301.32 м/с
10542 с,   28304.64 м/с
10543 с,   28307.99 м/с
10544 с,   28311.34 м/с
10545 с,   28314.72 м/с
10546 с,   28318.11 м/с
10547 с,   28321.52 м/с
10548 с,   28324.94 м/с
10549 с,   28328.39 м/с
10550 с,   28331.84 м/с
10551 с,   28335.32 м/с
10552 с,   28338.81 м/с
10553 с,   28342.32 м/с
10554 с,   28345.84 м/с
10555 с,   28349.38 м/с
10556 с,   28352.93 м/с
10557 с,   28356.51 м/с
10558 с,   28360.10 м/с
10559 с,   28363.70 м/с
10560 с,   28367.32 м/с
10561 с,   28370.96 м/с
10562 с,   28374.61 м/с
10563 с,   28378.28 м/с
10564 с,   28381.97 м/с
10565 с,   28385.67 м/с
10566 с,   28389.38 м/с
10567 с,   28393.12 м/с
10568 с,   28396.87 м/с
10569 с,   28400.63 м/с
10570 с,   28404.41 м/с
10571 с,   28408.21 м/с
10572 с,   28412.02 м/с
10573 с,   28415.85 м/с
10574 с,   28419.69 м/с
10575 с,   28423.55 м/с
10576 с,   28427.42 м/с
10577 с,   28431.31 м/с
10578 с,   28435.22 м/с
10579 с,   28439.14 м/с
10580 с,   28443.08 м/с
10581 с,   28447.03 м/с
10582 с,   28450.99 м/с
10583 с,   28454.98 м/с
10584 с,   28458.97 м/с
10585 с,   28462.99 м/с
10586 с,   28467.01 м/с
10587 с,   28471.06 м/с
10588 с,   28475.11 м/с
10589 с,   28479.19 м/с
10590 с,   28483.28 м/с
10591 с,   28487.38 м/с
